artist,genre,Start,End,Location,Hotttnesss,Discovery,Familiarity
baSix,a cappella,"Louisiana, US",1999,9999,0.298355,0.429189,0.41083291354677853
The Bobs,a cappella,"San Francisco, CA, US",1980,9999,0.479652,0.450831,0.386426718823284
Voice Male,a cappella,"Logan, UT, US",1994,9999,0.337806,0.484721,0.4639898522266601
van Canto,a cappella,Germany,2006,9999,0.482574,0.585768,0.500007461829368
Penn Masala,a cappella,"Philadelphia, PA, US",1996,9999,0.415118,0.543752,0.5098504949763994
Straight No Chaser,a cappella,"Bloomington, IN",1996,9999,0.551968,0.611645,0.4715085596959288
InsideOut,a cappella,"Boston, MA, US",1990,2010,0.425229,0.419121,0.387574183554145
The House Jacks,a cappella,"San Francisco, CA, US",1991,9999,0.370082,0.416755,0.39893070625106347
Tonic Sol-Fa,a cappella,"St. Cloud, MN, US",1995,9999,0.380889,0.462856,0.44306000161375925
The Idea of North,a cappella,Australia,1993,9999,0.390015,0.489592,0.4686525232687566
Rockapella,a cappella,"New York, NY, US",1986,9999,0.565006,0.500375,0.378079233745252
Die Prinzen,a cappella,"Leipzig, Saxony, DE",1987,9999,0.420521,0.533114,0.4961859170469404
Da Vinci's Notebook,a cappella,"Arlington, VA, US",1993,2013,0.388356,0.538948,0.515897604762026
RAG FAIR,a cappella,Japan,2002,9999,0.309309,0.324466,0.27250426470550587
Blue Jupiter,a cappella,"New York, NY, US",2001,9999,0.282063,0.169923,0.16265552278508827
Boston University Dear Abbeys,a cappella,Boston Massachusetts United States,1992,9999,0.314675,0.419316,0.4013821742327529
The Mint Juleps,a cappella,United Kingdom,1990,2000,0.188075,0.361585,0.34612028510705517
Banana Boat,a cappella,Poland,1994,9999,0.363049,0.435882,0.4172396590373866
moosebutter,a cappella,United States,9999,9999,0.317449,0.432999,0.4144799627503071
Піккардійська Терція,a cappella,"Lviv, Ukraine",1992,9999,0.336731,0.42896,0.26136665393235864
m-pact,a cappella,"Los Angeles, CA, US",2000,2000,0.37358,0.414752,0.39701337303461526
Montezuma's Revenge,a cappella,"Oro, Piedmont, IT",1985,2008,0.3195,0.398888,0.38182786422496245
Ball in the House,a cappella,"Boston, MA, US",1990,2010,0.354426,0.409563,0.39204630261017703
Anonymous 4,a cappella,"New York, NY, US",1992,1992,0.412897,0.465475,0.4377834101252719
SONOS,a cappella,"Los Angeles, CA",2009,9999,0.476157,0.49346,0.4250657815464873
The Nylons,a cappella,"North Olmsted, OH, US",1978,9999,0.411801,0.476101,0.4484495011561211
maybebop,a cappella,"Hanover, Germany",1992,9999,0.373659,0.523969,0.5015592451768148
The Flying Pickets,a cappella,United Kingdom,1982,9999,0.387782,0.508472,0.4867250400568458
The King's Singers,a cappella,"Cambridge, England, GB",1968,9999,0.413491,0.516975,0.4858243592208544
Club for Five,a cappella,"Helsinki, Uusimaa, FI",2000,2010,0.376517,0.534106,0.5112626934120299
The Blanks,a cappella,"Los Angeles, CA",2004,9999,0.400223,0.530749,0.5078947327574539
The Real Group,a cappella,"Stockholm, Stockholm, SE",1984,9999,0.457687,0.545695,0.48242948302594335
Rajaton,a cappella,"Helsinki, Uusimaa, FI",1997,9999,0.430031,0.547408,0.5028704472213715
Five O'Clock Shadow,a cappella,"Boston, MA, US",1991,9999,0.32199,0.307472,0.2881781498475307
6-Zylinder,a cappella,"Muenster, North Rhine-Westphalia, DE",1983,9999,0.255858,0.331024,0.316866355787098
Intermezzo,a cappella,Sweden,9999,9999,0.394249,0.304153,0.2911446079792197
Simple Harmonic Motion,a cappella,"Worcester, MA",9999,9999,0.271895,0.219792,0.2103916636593052
Great Stage Robbery,a cappella,none,9999,9999,0.09589,0.259727,0.2486186741430096
University of Pennsylvania Off the Beat,a cappella,none,9999,9999,0.202998,0.176144,0.056073318321370136
University of Illinois Other Guys,a cappella,none,9999,9999,0.072406,0.141886,0.008096045055901134
Michigan State University Accafellas,a cappella,none,9999,9999,0.084644,0.127057,0.011087150613674492
University of California Berkeley Men's Octet,a cappella,none,9999,9999,0.095951,0.114946,0.05968931463074174
Madrigaia,a cappella,"Winnipeg,Canada",9999,9999,0.209326,0.190436,0.10675669103404946
University of Oregon Divisi,a cappella,none,9999,9999,0.184347,0.181668,0.04552691965657751
Arramaieda,a cappella,none,9999,9999,0.057147,0.191903,0.004665294315445346
Akordo,a cappella,none,9999,9999,0.081409,0.20372,0.07803140207199857
Yale University Whiffenpoofs,a cappella,none,9999,9999,0.042403,0.149357,0.002795817431754815
Swarthmore College Sixteen Feet,a cappella,"Swarthmore, PA, US",1981,9999,0.18297,0.14714,0.04110766855170283
