artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
Katy Perry,AR0IVTL1187B9AD520,pop,"Los Angeles, CA",2000,9999,0.817048,0.899811,0.4044722352351
Madonna,ARBEOHF1187B9B044D,pop,"New York City, NY",1979,9999,0.834043,0.857838,0.36543326822925215
Michael Jackson,ARXPPEY1187FB51DF4,pop,"Gary, IN",1971,2009,0.863417,0.855303,0.32776914653331013
Maroon 5,ARF5M7Q1187FB501E8,pop,"Los Angeles, CA",1994,9999,0.809096,0.944755,0.43483133147514175
Britney Spears,AR03BDP1187FB5B324,pop,"Kentwood, LA",1992,9999,0.832476,0.835759,0.3578677550780887
Adele,AR7J9AP1187FB5BD64,pop,"London, UK",2006,9999,0.82026,0.964772,0.4294415899768166
Rihanna,ARKU3Z61187FB51DCA,pop,"Saint Michael, Barbados",2005,9999,0.845719,0.915496,0.37475907410787274
Ricki-Lee,ARUGKMM11E2835D2F3,pop,"Gold Coast, Queensland",2003,9999,0.457765,0.592545,0.5237907857012871
Natalie Imbruglia,ARQM3CJ1187B9B7AD1,pop,"Sydney, New South Wales, AU",1989,9999,0.637171,0.630582,0.4233442271860578
Vanessa Hudgens,ARCQJYZ11E2835D077,pop,"Los Angeles, CA",2006,9999,0.639925,0.645302,0.43114881254318316
The Jacksons,ARW3LUX1187FB5C4C0,pop,"Gary, IN",2012,9999,0.673909,0.637725,0.40063150997665997
NLT,ARSJGRM1187B99E81C,pop,"Los Angeles, CA, US",2003,2009,0.432113,0.553969,0.5074392782249427
A*Teens,ARK9LNI1187FB4D116,pop,"Stockholm, Stockholm, SE",1998,2004,0.465562,0.547713,0.4788997767457793
Martin L. Gore,ARQYP561187B9A77D6,pop,"Dagenham, London, England",1977,9999,0.609062,0.56344,0.39674947175351793
Gwen Stefani,ARVBRGZ1187FB4675A,pop,"Fullerton, California",2004,9999,0.767025,0.836829,0.43097577736605885
Rick Astley,ARWPYQI1187FB4D55A,pop,"Newton-le-Willows, England, GB",2000,9999,0.615732,0.597239,0.4159045961274376
Rick Nelson,ARQLMAT11F50C4ECFC,pop,"Los Angeles, CA, US",1949,1985,0.570323,0.58019,0.4347758247813704
The Ronettes,ARCHKD91187B9A0A42,pop,"New York City, NY",1959,1966,0.657713,0.586496,0.3796340237489735
