artist,ID,genre,Location,Start,End,Hotttnesss,Discovery,Familiarity
Jeezy,ARHBUNW14561E062F3,rap,"Atlanta, GA",2000,9999,0.740121,0.583938,0.3203375469546914
Mr. Lil One,AR5WZZD1187B9B0BF0,rap,"San Diego, CA",2011,9999,0.382153,0.475323,0.45499379752462293
The Diplomats,AR9RY7L1187B9A00A5,rap,"New York, NY",1997,9999,0.544959,0.5407,0.42127599337121413
J-Live,AR6YR7H1187FB40D23,rap,"New York, NY, US",1995,9999,0.568388,0.533921,0.40131222679494694
Play-N-Skillz,ARKKTBV11F50C4D1B9,rap,"Irving, TX",2003,9999,0.402491,0.499726,0.47672984106742117
Bow Wow,ARRQZEV1187B98C8C2,rap,"Columbus, OH, US",1993,9999,0.703305,0.648639,0.3848155084864478
2Pac,ARPXABO1187FB4D15F,rap,"Marin City, CA",1988,1996,0.830952,0.756718,0.32563787544128425
Bone Thugs‐N‐Harmony,ARWNFEQ140C33503F0,rap,Cleveland Ohio,1992,9999,0.729353,0.655855,0.36844661346946855
Mistah F.A.B.,AR615ZF1187FB4A4B0,rap,"North Oakland, CA",1998,9999,0.547086,0.531857,0.4130544277830798
Thaitanium,ARVS7851187B9AC475,rap,"Bangkok, Thailand",2000,9999,0.439043,0.53177,0.482464555921119
Crime Mob,AR9MQ061187B9A3581,rap,"Atlanta, GA",2004,9999,0.458845,0.550714,0.4860789127267632
Lil' Troy,AR106UF1187FB53888,rap,"Houston, TX",1988,9999,0.446225,0.558493,0.5016908672441414
MED,AR94AIM1187FB58F41,rap,"Oxnard, CA, US",1999,9999,0.467306,0.535737,0.4672815277023435
Klub des Loosers,AR4D6AU1187B9BA4BD,rap,"Paris, France",2000,9999,0.411245,0.557077,0.5251218711132939
N.O.R.E.,AREJJ2E1187FB4A54C,rap,"Queens, New York, NY, US",1995,9999,0.572262,0.563991,0.42135765364660993
Big Pun,ARH2TLF1187FB3B180,rap,"Bronx, New York, NY, US",1989,2000,0.679014,0.611571,0.3805099875307467
Lil Wayne,ARUDYKB11F4C83C269,rap,"New Orleans, LA",1996,9999,0.873035,0.702215,0.258754205059955
Too $hort,ARMFTPF1187FB3AA43,rap,"California, US",1982,9999,0.68824,0.58161,0.35550487929077856
Clipse,AR8VVB21187B9B6ED3,rap,"Virginia Beach, VA",1992,2014,0.621814,0.57655,0.39740745708657743
Diddy,ARQ23MU1187FB3895B,rap,"New York, NY, US",1990,9999,0.740528,0.635774,0.34845509935424135
Gucci Mane,ARV6Z5I1187B9A22A8,rap,"Atlanta, GA",2005,9999,0.760262,0.634105,0.3319781427163239
Snoop Dogg,ARZ5H0P1187B98A1DD,rap,"Long Beach, CA, US",1992,9999,0.836136,0.716711,0.30319840246239754
Trina,ARFMYWG1187FB39B48,rap,"Miami, Florida",1998,9999,0.652201,0.638755,0.41759263722161694
Drake,ARODZUF11F4C841E1F,rap,"Toronto, Canada",2001,9999,0.866699,0.965389,0.3651462328595131
Tinchy Stryder,ARN0JNC1187FB38B22,rap,"London, England",1997,9999,0.544069,0.575235,0.44878624121971805
Vybz Kartel,ARKBYFV1187B9B07FD,rap,"Kingston, Saint Andrew, JM",1993,9999,0.643894,0.576239,0.38232976189883977
Jamie Foxx,ARD5VN51187B9B8D29,rap,"Terrell, Texas ",1994,9999,0.715097,0.655877,0.37980719828883025
GZA,ARPXULK1241B9C6305,rap,"New York, NY, US",1989,9999,0.667014,0.612203,0.3895767842626179
Aaron Nadeau,ARXPKOJ11EBCD78CA9,rap,"Bath, ME",9999,9999,0.156624,0.176015,0.03516610390073186
JT the Bigga Figga,AR6WCVL1187B98E79A,rap,"San Francisco, CA",1992,9999,0.373857,0.480342,0.4597981387195074
Pep Love,ARTP3H51187B98FB75,rap,"Oakland, CA, US",1993,9999,0.415725,0.497347,0.46595104942282234
Young Gunz,ARU9T761187B98A504,rap,"Philadelphia, PA, US",1995,9999,0.442923,0.495865,0.4474778016487792
Mr. Cheeks,AR7YGS61187FB52F25,rap,"South Jamaica, New York, NY, US",1991,9999,0.421413,0.473933,0.44056448901015094
L.O.C.,ART7ZLW1187FB44187,rap,"Aarhus, Denmark",1997,9999,0.477094,0.565847,0.4867737231203293
Braille,ARRKTUT1187B99A622,rap,"Portland, OR, US",1994,9999,0.54947,0.545177,0.4218701727941565
Kurtis Blow,AR60C3O1187FB46737,rap,"Harlem, New York, NY, US",1979,9999,0.559317,0.517011,0.39409632155817204
Strange Fruit Project,AR0ZE7X1187B9A3A72,rap,"Waco, TX",2003,9999,0.445713,0.512778,0.46095292137402283
8Ball and MJG,ARVELMC12FE085F91A,rap,"Memphis, TN",1991,9999,0.573367,0.522676,0.38981583910796513
Despo Rutti,ARTBKVB11F4C846E10,rap,France,2000,9999,0.37372,0.518836,0.4966457796750531
The Streets,ARIHE7O1187FB47DED,rap,"Birmingham, England, GB",1994,2011,0.667683,0.579609,0.36837869239505067
Gabriel o Pensador,AR886CQ1187B98DBE9,rap,Brazil,1992,9999,0.430459,0.560835,0.5149012658525448
Casper,ARLKQ581187FB5B4DE,rap,"Bielefeld, North Rhine-Westphalia, DE",2003,9999,0.560567,0.61455,0.4675455476208357
